"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 12:21:20 IST 2022","Tue Sep 20 12:21:25 IST 2022","4786","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Tue Sep 20 12:21:28 IST 2022","Tue Sep 20 12:21:28 IST 2022","303","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 20 12:21:28 IST 2022","Tue Sep 20 12:21:28 IST 2022","286","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Tue Sep 20 12:21:20 IST 2022","Tue Sep 20 12:21:25 IST 2022","5318","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 20 12:21:25 IST 2022","Tue Sep 20 12:21:26 IST 2022","1503","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Tue Sep 20 12:21:28 IST 2022","Tue Sep 20 12:21:29 IST 2022","762","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 20 12:21:28 IST 2022","Tue Sep 20 12:21:29 IST 2022","739","","Running all api tests","","Sample PATCH method API test","","Sample PATCH method API test",""
"passed","Tue Sep 20 12:21:27 IST 2022","Tue Sep 20 12:21:28 IST 2022","665","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 20 12:21:25 IST 2022","Tue Sep 20 12:21:26 IST 2022","1530","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 20 12:21:26 IST 2022","Tue Sep 20 12:21:27 IST 2022","795","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Tue Sep 20 12:21:27 IST 2022","Tue Sep 20 12:21:28 IST 2022","642","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Tue Sep 20 12:21:26 IST 2022","Tue Sep 20 12:21:27 IST 2022","818","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
