"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 10:25:59 IST 2022","Thu Sep 15 10:26:00 IST 2022","312","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Thu Sep 15 10:25:59 IST 2022","Thu Sep 15 10:25:59 IST 2022","693","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 10:25:53 IST 2022","Thu Sep 15 10:25:56 IST 2022","3769","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 10:25:59 IST 2022","Thu Sep 15 10:25:59 IST 2022","671","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Thu Sep 15 10:25:56 IST 2022","Thu Sep 15 10:25:58 IST 2022","1463","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Thu Sep 15 10:25:58 IST 2022","Thu Sep 15 10:25:59 IST 2022","704","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Thu Sep 15 10:25:58 IST 2022","Thu Sep 15 10:25:59 IST 2022","726","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 10:25:53 IST 2022","Thu Sep 15 10:25:56 IST 2022","3407","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Thu Sep 15 10:25:56 IST 2022","Thu Sep 15 10:25:58 IST 2022","1488","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 10:25:59 IST 2022","Thu Sep 15 10:26:00 IST 2022","333","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Sep 15 10:25:53 IST 2022","Thu Sep 15 10:25:53 IST 2022","0","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","teardown","teardown",""
