"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 15:11:43 IST 2022","Tue Sep 13 15:11:47 IST 2022","4094","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Tue Sep 13 15:11:49 IST 2022","Tue Sep 13 15:11:50 IST 2022","680","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 15:11:50 IST 2022","Tue Sep 13 15:11:51 IST 2022","740","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 15:11:51 IST 2022","Tue Sep 13 15:11:52 IST 2022","672","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 15:11:49 IST 2022","Tue Sep 13 15:11:50 IST 2022","670","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Tue Sep 13 15:11:43 IST 2022","Tue Sep 13 15:11:48 IST 2022","4551","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 15:11:48 IST 2022","Tue Sep 13 15:11:49 IST 2022","1752","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 15:11:51 IST 2022","Tue Sep 13 15:11:51 IST 2022","657","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Tue Sep 13 15:11:50 IST 2022","Tue Sep 13 15:11:51 IST 2022","719","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Tue Sep 13 15:11:48 IST 2022","Tue Sep 13 15:11:49 IST 2022","1741","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
