"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 19 13:54:33 IST 2022","Mon Sep 19 13:54:34 IST 2022","1351","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:54:30 IST 2022","Mon Sep 19 13:54:33 IST 2022","2393","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Mon Sep 19 13:54:36 IST 2022","Mon Sep 19 13:54:37 IST 2022","534","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Mon Sep 19 13:54:33 IST 2022","Mon Sep 19 13:54:34 IST 2022","1323","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Mon Sep 19 13:54:35 IST 2022","Mon Sep 19 13:54:36 IST 2022","1027","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:54:30 IST 2022","Mon Sep 19 13:54:33 IST 2022","2732","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:54:34 IST 2022","Mon Sep 19 13:54:35 IST 2022","1226","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Mon Sep 19 13:54:37 IST 2022","Mon Sep 19 13:54:38 IST 2022","874","","Running all api tests","","Sample PATCH method API test","","Sample PATCH method API test",""
"passed","Mon Sep 19 13:54:34 IST 2022","Mon Sep 19 13:54:35 IST 2022","1250","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:54:35 IST 2022","Mon Sep 19 13:54:36 IST 2022","1005","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Mon Sep 19 13:54:37 IST 2022","Mon Sep 19 13:54:38 IST 2022","899","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:54:36 IST 2022","Mon Sep 19 13:54:37 IST 2022","508","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
