"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 10:28:00 IST 2022","Wed Sep 14 10:28:00 IST 2022","632","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Wed Sep 14 10:27:59 IST 2022","Wed Sep 14 10:28:00 IST 2022","688","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Wed Sep 14 10:28:00 IST 2022","Wed Sep 14 10:28:01 IST 2022","347","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Sep 14 10:28:00 IST 2022","Wed Sep 14 10:28:01 IST 2022","316","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Wed Sep 14 10:27:59 IST 2022","Wed Sep 14 10:28:00 IST 2022","710","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Sep 14 10:27:52 IST 2022","Wed Sep 14 10:27:57 IST 2022","5773","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Wed Sep 14 10:27:51 IST 2022","Wed Sep 14 10:27:57 IST 2022","6533","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Sep 14 10:28:00 IST 2022","Wed Sep 14 10:28:00 IST 2022","649","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Sep 14 10:27:57 IST 2022","Wed Sep 14 10:27:59 IST 2022","1412","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Sep 14 10:27:57 IST 2022","Wed Sep 14 10:27:59 IST 2022","1393","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
