"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","45","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","21","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","83","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","56","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","7","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","38","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"failed","Thu Sep 15 10:25:34 IST 2022","Thu Sep 15 10:25:37 IST 2022","3148","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","24","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Sep 15 10:25:34 IST 2022","Thu Sep 15 10:25:37 IST 2022","2693","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"failed","Thu Sep 15 10:25:37 IST 2022","Thu Sep 15 10:25:37 IST 2022","67","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
