"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 14:51:48 IST 2022","Mon Sep 19 14:51:49 IST 2022","662","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Mon Sep 19 14:51:48 IST 2022","Mon Sep 19 14:51:48 IST 2022","693","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:41 IST 2022","Mon Sep 19 14:51:46 IST 2022","4622","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Mon Sep 19 14:51:49 IST 2022","Mon Sep 19 14:51:49 IST 2022","368","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:48 IST 2022","Mon Sep 19 14:51:49 IST 2022","683","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:46 IST 2022","Mon Sep 19 14:51:48 IST 2022","1279","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Mon Sep 19 14:51:41 IST 2022","Mon Sep 19 14:51:46 IST 2022","5100","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:49 IST 2022","Mon Sep 19 14:51:49 IST 2022","304","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Mon Sep 19 14:51:49 IST 2022","Mon Sep 19 14:51:50 IST 2022","687","","Running all api tests","","Sample PATCH method API test","","Sample PATCH method API test",""
"passed","Mon Sep 19 14:51:49 IST 2022","Mon Sep 19 14:51:50 IST 2022","720","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:46 IST 2022","Mon Sep 19 14:51:48 IST 2022","1304","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 14:51:48 IST 2022","Mon Sep 19 14:51:48 IST 2022","670","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
