"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 13:53:33 IST 2022","Thu Sep 15 13:53:34 IST 2022","1127","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Thu Sep 15 13:53:25 IST 2022","Thu Sep 15 13:53:30 IST 2022","5314","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 13:53:32 IST 2022","Thu Sep 15 13:53:33 IST 2022","952","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Thu Sep 15 13:53:33 IST 2022","Thu Sep 15 13:53:34 IST 2022","1148","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 13:53:34 IST 2022","Thu Sep 15 13:53:35 IST 2022","765","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 13:53:25 IST 2022","Thu Sep 15 13:53:30 IST 2022","4836","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Thu Sep 15 13:53:34 IST 2022","Thu Sep 15 13:53:35 IST 2022","750","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Thu Sep 15 13:53:30 IST 2022","Thu Sep 15 13:53:32 IST 2022","1627","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Thu Sep 15 13:53:30 IST 2022","Thu Sep 15 13:53:32 IST 2022","1653","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Sep 15 13:53:32 IST 2022","Thu Sep 15 13:53:33 IST 2022","962","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
