"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 13:53:46 IST 2022","Mon Sep 19 13:53:47 IST 2022","1381","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:53:48 IST 2022","Mon Sep 19 13:53:49 IST 2022","1034","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"passed","Mon Sep 19 13:53:49 IST 2022","Mon Sep 19 13:53:49 IST 2022","829","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Mon Sep 19 13:53:49 IST 2022","Mon Sep 19 13:53:50 IST 2022","514","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:53:49 IST 2022","Mon Sep 19 13:53:49 IST 2022","851","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:53:42 IST 2022","Mon Sep 19 13:53:46 IST 2022","3936","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:53:42 IST 2022","Mon Sep 19 13:53:46 IST 2022","3584","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Mon Sep 19 13:53:49 IST 2022","Mon Sep 19 13:53:50 IST 2022","492","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Mon Sep 19 13:53:46 IST 2022","Mon Sep 19 13:53:47 IST 2022","1357","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Mon Sep 19 13:53:48 IST 2022","Mon Sep 19 13:53:49 IST 2022","1058","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:53:50 IST 2022","Mon Sep 19 13:53:51 IST 2022","913","","Running all api tests","","Sample PATCH method API test","","Sample PATCH method API test",""
"passed","Mon Sep 19 13:53:50 IST 2022","Mon Sep 19 13:53:51 IST 2022","934","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
