"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 13:51:08 IST 2022","Mon Sep 19 13:51:08 IST 2022","795","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:51:09 IST 2022","Mon Sep 19 13:51:09 IST 2022","315","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"failed","Mon Sep 19 13:51:09 IST 2022","Mon Sep 19 13:51:10 IST 2022","838","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:51:08 IST 2022","Mon Sep 19 13:51:09 IST 2022","634","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:51:06 IST 2022","Mon Sep 19 13:51:08 IST 2022","1414","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Mon Sep 19 13:51:01 IST 2022","Mon Sep 19 13:51:06 IST 2022","5038","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Mon Sep 19 13:51:09 IST 2022","Mon Sep 19 13:51:09 IST 2022","335","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:51:08 IST 2022","Mon Sep 19 13:51:09 IST 2022","612","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Mon Sep 19 13:51:08 IST 2022","Mon Sep 19 13:51:08 IST 2022","772","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
"failed","Mon Sep 19 13:51:09 IST 2022","Mon Sep 19 13:51:10 IST 2022","800","","Running all api tests","","Sample PATCH method API test","","Sample PATCH method API test",""
"passed","Mon Sep 19 13:51:00 IST 2022","Mon Sep 19 13:51:06 IST 2022","5659","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 19 13:51:06 IST 2022","Mon Sep 19 13:51:08 IST 2022","1441","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
